add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,add_median_degree,add_num_selfloops,del_num_nodes,contains_bug
23,35,1.5217,1.5217,9,70,3,2,1,12,FALSE
13,18,1.3846,1.3846,7,36,2,2,1,22,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
8,9,1.125,1.125,4,18,2,2,1,0,FALSE
17,22,1.2941,1.2941,7,44,2,2,1,23,FALSE
5,8,1.6,1.6,4,16,3,3,1,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
23,34,1.4783,1.4783,12,68,2,2,1,10,FALSE
13,17,1.3077,1.3077,7,34,2,2,1,7,FALSE
16,21,1.3125,1.3125,7,42,2,2,1,10,FALSE
16,22,1.375,1.375,8,44,2,2,1,12,FALSE
9,16,1.7778,1.7778,7,32,3,3,1,9,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
8,8,1,1,4,16,2,2,0,8,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
13,20,1.5385,1.5385,9,40,3,3,1,13,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
9,12,1.3333,1.3333,6,24,2,2,1,4,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
5,6,1.2,1.2,4,12,2,2,1,5,FALSE
0,0,0,0,0,0,0,0,0,19,FALSE
14,18,1.2857,1.2857,7,36,2,2,1,0,FALSE
19,32,1.6842,1.6842,9,64,3,3,1,18,FALSE
29,50,1.7241,1.7241,12,100,3,2,1,8,FALSE
8,11,1.375,1.375,6,22,2,2,1,29,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
20,28,1.4,1.4,9,56,2,2,1,12,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
10,10,1,1,5,20,2,2,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
13,17,1.3077,1.3077,7,34,2,2,1,8,FALSE
0,0,0,0,0,0,0,0,0,3,FALSE
13,17,1.3077,1.3077,7,34,2,2,1,28,FALSE
8,9,1.125,1.125,5,18,2,2,1,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
31,52,1.6774,1.6774,13,104,3,2,1,0,FALSE
0,0,0,0,0,0,0,0,0,19,FALSE
13,19,1.4615,1.4615,6,38,2,3,1,12,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
5,5,1,1,3,10,2,2,0,5,FALSE
5,7,1.4,1.4,4,14,2,3,1,3,FALSE
37,82,2.2162,2.2162,18,164,4,3,2,43,FALSE
3,2,0.6667,0.6667,2,4,1,1,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
20,33,1.65,1.65,10,66,3,3,1,17,FALSE
12,16,1.3333,1.3333,6,32,2,2,1,17,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
12,21,1.75,1.75,10,42,3,3,1,11,FALSE
8,8,1,1,4,16,2,2,0,8,FALSE
22,37,1.6818,1.6818,12,74,3,3,1,21,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
3,2,0.6667,0.6667,2,4,1,1,0,0,FALSE
13,17,1.3077,1.3077,7,34,2,2,1,28,FALSE
7,10,1.4286,1.4286,5,20,2,2,1,16,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
19,32,1.6842,1.6842,9,64,3,3,1,18,FALSE
23,36,1.5652,1.5652,9,72,3,2,1,24,FALSE
15,21,1.4,1.4,5,42,2,2,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,39,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
23,36,1.5652,1.5652,9,72,3,2,1,17,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
31,52,1.6774,1.6774,13,104,3,2,1,0,FALSE
