add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_sum_degree,entropy,la,contains_bug
11,17,1.5455,1.5455,8,34,3.4,34,0,16,FALSE
20,31,1.55,1.55,11,62,3.26,42,0,14,FALSE
14,27,1.9286,1.9286,10,54,4.15,54,0,9,FALSE
20,28,1.4,1.4,12,56,3.11,42,0,10,FALSE
30,57,1.9,1.9,19,114,3.93,110,0,13,FALSE
16,24,1.5,1.5,12,48,3.2,48,1,2,FALSE
42,99,2.3571,2.3571,18,198,4.83,168,0,0,FALSE
23,34,1.4783,1.4783,11,68,3.09,68,0,7,FALSE
24,41,1.7083,1.7083,15,82,3.57,84,0,1,FALSE
34,72,2.1176,2.1176,16,144,4.36,122,0.760786,37,FALSE
12,17,1.4167,1.4167,7,34,3.09,34,0,1,FALSE
10,15,1.5,1.5,8,30,3.33,30,0,3,FALSE
