add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_num_nodes,del_num_edges,del_max_degree,contains_bug
0,0,0,0,0,0,0,0,0,0,FALSE
5,4,0.8,0.8,4,8,1,9,13,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
9,12,1.3333,1.3333,7,24,2,9,12,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
15,21,1.4,1.4,6,42,2,12,16,6,FALSE
9,13,1.4444,1.4444,8,26,2,9,13,8,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
7,10,1.4286,1.4286,5,20,2,7,9,5,FALSE
21,33,1.5714,1.5714,11,66,3,22,36,13,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
5,6,1.2,1.2,5,12,2,4,3,3,FALSE
19,24,1.2632,1.2632,8,48,2,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
5,6,1.2,1.2,5,12,2,4,3,3,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
9,11,1.2222,1.2222,6,22,2,8,10,5,FALSE
13,18,1.3846,1.3846,8,36,2,8,9,6,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
13,17,1.3077,1.3077,7,34,2,13,17,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
3,4,1.3333,1.3333,4,8,2,3,4,4,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
19,24,1.2632,1.2632,8,48,2,0,0,0,FALSE
15,21,1.4,1.4,6,42,2,12,16,6,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
22,31,1.4091,1.4091,9,62,2,0,0,0,FALSE
23,31,1.3478,1.3478,9,62,2,18,30,11,FALSE
17,25,1.4706,1.4706,8,50,2,7,10,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
13,18,1.3846,1.3846,6,36,2,7,9,5,FALSE
8,11,1.375,1.375,6,22,2,8,10,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
20,32,1.6,1.6,9,64,3,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
33,68,2.0606,2.0606,14,136,4,37,88,20,FALSE
29,51,1.7586,1.7586,12,102,3,23,35,12,FALSE
13,17,1.3077,1.3077,7,34,2,12,16,6,FALSE
30,54,1.8,1.8,11,108,3,27,44,10,FALSE
15,21,1.4,1.4,7,42,2,0,0,0,FALSE
37,74,2,2,19,148,4,30,52,13,FALSE
15,21,1.4,1.4,6,42,2,12,16,6,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
20,29,1.45,1.45,10,58,2,0,0,0,FALSE
15,18,1.2,1.2,9,36,2,3,3,4,FALSE
6,8,1.3333,1.3333,5,16,2,18,29,7,FALSE
27,45,1.6667,1.6667,10,90,3,28,47,10,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
29,49,1.6897,1.6897,8,98,3,25,42,8,FALSE
19,26,1.3684,1.3684,9,52,2,19,27,9,FALSE
18,29,1.6111,1.6111,8,58,3,16,24,8,FALSE
20,29,1.45,1.45,10,58,2,0,0,0,FALSE
26,48,1.8462,1.8462,13,96,3,27,49,13,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
29,48,1.6552,1.6552,11,96,3,7,9,5,FALSE
13,17,1.3077,1.3077,8,34,2,13,17,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
7,8,1.1429,1.1429,5,16,2,9,12,6,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
7,10,1.4286,1.4286,5,20,2,7,10,5,FALSE
7,9,1.2857,1.2857,5,18,2,7,9,5,FALSE
9,11,1.2222,1.2222,4,22,2,9,11,4,FALSE
13,17,1.3077,1.3077,8,34,2,13,17,7,FALSE
0,0,0,0,0,0,0,3,3,4,FALSE
13,17,1.3077,1.3077,8,34,2,13,17,7,FALSE
30,54,1.8,1.8,14,108,3,8,12,7,FALSE
28,55,1.9643,1.9643,12,110,3,6,5,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
20,29,1.45,1.45,10,58,2,0,0,0,FALSE
15,18,1.2,1.2,9,36,2,3,3,4,FALSE
27,48,1.7778,1.7778,13,96,3,27,41,13,FALSE
12,14,1.1667,1.1667,6,28,2,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,23,39,12,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
37,72,1.9459,1.9459,17,144,3,35,70,14,FALSE
7,8,1.1429,1.1429,5,16,2,8,12,6,FALSE
9,11,1.2222,1.2222,6,22,2,8,11,6,FALSE
14,20,1.4286,1.4286,10,40,2,13,19,10,FALSE
11,13,1.1818,1.1818,5,26,2,11,13,5,FALSE
10,15,1.5,1.5,7,30,3,10,15,7,FALSE
12,17,1.4167,1.4167,7,34,2,0,0,0,FALSE
17,24,1.4118,1.4118,8,48,2,17,22,8,FALSE
20,30,1.5,1.5,10,60,3,0,0,0,FALSE
21,33,1.5714,1.5714,11,66,3,22,36,13,FALSE
17,23,1.3529,1.3529,7,46,2,7,10,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
13,16,1.2308,1.2308,7,32,2,13,16,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
20,30,1.5,1.5,9,60,3,0,0,0,FALSE
27,48,1.7778,1.7778,13,96,3,27,41,13,FALSE
36,70,1.9444,1.9444,14,140,3,39,81,17,FALSE
17,24,1.4118,1.4118,8,48,2,17,22,8,FALSE
9,11,1.2222,1.2222,6,22,2,9,11,6,FALSE
22,35,1.5909,1.5909,9,70,3,22,35,9,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
9,13,1.4444,1.4444,7,26,2,9,13,7,FALSE
21,30,1.4286,1.4286,9,60,2,20,27,8,FALSE
37,74,2,2,19,148,4,30,52,13,FALSE
21,28,1.3333,1.3333,10,56,2,11,15,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
21,30,1.4286,1.4286,10,60,2,9,13,7,FALSE
20,30,1.5,1.5,10,60,3,0,0,0,FALSE
36,70,1.9444,1.9444,14,140,3,39,81,17,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
30,54,1.8,1.8,14,108,3,8,12,7,FALSE
18,27,1.5,1.5,9,54,3,16,25,9,FALSE
29,50,1.7241,1.7241,14,100,3,25,40,14,FALSE
0,0,0,0,0,0,0,35,69,16,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
4,3,0.75,0.75,3,6,1,4,3,3,FALSE
29,48,1.6552,1.6552,11,96,3,7,9,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
19,25,1.3158,1.3158,7,50,2,0,0,0,FALSE
22,42,1.9091,1.9091,10,84,3,14,18,5,FALSE
28,49,1.75,1.75,13,98,3,14,25,10,FALSE
7,9,1.2857,1.2857,5,18,2,7,9,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
18,29,1.6111,1.6111,10,58,3,16,23,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
13,17,1.3077,1.3077,7,34,2,8,11,6,FALSE
45,95,2.1111,2.1111,18,190,4,38,74,15,FALSE
8,7,0.875,0.875,4,14,2,0,0,0,FALSE
29,50,1.7241,1.7241,14,100,3,25,40,14,FALSE
12,17,1.4167,1.4167,7,34,2,13,16,7,FALSE
12,17,1.4167,1.4167,7,34,2,12,17,7,FALSE
7,10,1.4286,1.4286,5,20,2,7,10,5,FALSE
37,74,2,2,19,148,4,30,52,13,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
21,30,1.4286,1.4286,9,60,2,20,27,8,FALSE
0,0,0,0,0,0,0,3,3,4,FALSE
