add_num_nodes,add_num_edges,add_avg_out_degree,add_max_degree,add_sum_degree,del_num_edges,del_sum_degree,ns,nd,entropy,contains_bug
12,19,1.5833,8,38,19,38,1,1,1.9183,TRUE
32,66,2.0625,21,132,27,54,1,3,0.0981672,TRUE
40,94,2.35,22,188,87,174,1,2,2.35354,TRUE
25,44,1.76,16,88,39,78,1,1,0,TRUE
38,86,2.2632,18,172,26,52,2,3,1.95163,TRUE
30,54,1.8,14,108,54,108,1,1,1.67674,TRUE
27,46,1.7037,13,92,40,80,1,2,1.89422,TRUE
27,50,1.8519,17,100,49,98,1,1,1.35858,TRUE
13,23,1.7692,12,46,23,46,1,1,3.04162,TRUE
26,47,1.8077,16,94,15,30,3,3,1.10331,TRUE
17,25,1.4706,11,50,24,48,1,2,2.2119,TRUE
11,15,1.3636,7,30,15,30,2,2,0.111241,TRUE
18,29,1.6111,12,58,27,54,1,2,2.55382,TRUE
26,42,1.6154,14,84,30,60,1,2,0.235193,TRUE
48,105,2.1875,21,210,52,104,2,4,2.03058,TRUE
32,61,1.9062,21,122,61,122,1,1,2.54649,TRUE
21,33,1.5714,13,66,19,38,1,1,0,TRUE
34,72,2.1176,19,144,64,128,1,1,0.83419,TRUE
30,54,1.8,12,108,57,114,2,3,1.41602,TRUE
18,28,1.5556,13,56,28,56,1,1,0,TRUE
42,98,2.3333,18,196,82,164,3,4,2.20786,TRUE
32,63,1.9688,16,126,59,118,2,3,1.26935,TRUE
26,47,1.8077,17,94,49,98,2,2,0.811278,TRUE
34,78,2.2941,22,156,69,138,1,2,1.11349,TRUE
34,65,1.9118,17,130,57,114,1,2,2.76898,TRUE
41,91,2.2195,18,182,68,136,1,2,0.693497,TRUE
39,86,2.2051,22,172,70,140,1,2,2.03599,TRUE
31,56,1.8065,18,112,49,98,1,2,0.637388,TRUE
43,88,2.0465,20,176,85,170,1,2,1.78529,TRUE
44,97,2.2045,22,194,68,136,1,3,3.03,TRUE
33,72,2.1818,17,144,69,138,1,2,2.14884,TRUE
54,125,2.3148,25,250,125,250,1,1,2.18742,TRUE
51,126,2.4706,22,252,56,112,1,2,0.357165,TRUE
21,28,1.3333,11,56,12,24,1,1,0,TRUE
33,62,1.8788,15,124,63,126,1,2,0.619382,TRUE
46,95,2.0652,19,190,75,150,2,3,2.60746,TRUE
28,52,1.8571,17,104,50,100,1,2,2.24053,TRUE
42,90,2.1429,17,180,38,76,2,3,2.95009,TRUE
44,100,2.2727,18,200,76,152,1,2,1.89811,TRUE
30,61,2.0333,20,122,57,114,1,2,1.0763,TRUE
23,41,1.7826,13,82,41,82,2,3,1.37646,TRUE
26,51,1.9615,15,102,50,100,1,2,2.29904,TRUE
29,57,1.9655,13,114,38,76,2,3,1.53574,TRUE
44,98,2.2273,23,196,75,150,2,3,0.429139,TRUE
34,71,2.0882,15,142,25,50,1,3,0.70288,TRUE
32,60,1.875,18,120,65,130,1,1,1.14883,TRUE
30,54,1.8,17,108,48,96,1,1,0.828056,TRUE
29,52,1.7931,15,104,52,104,1,2,2.51943,TRUE
34,67,1.9706,17,134,42,84,3,4,2.26717,TRUE
23,37,1.6087,11,74,37,74,1,1,0,TRUE
11,15,1.3636,7,30,15,30,1,1,0,TRUE
16,23,1.4375,8,46,23,46,1,1,0,TRUE
20,28,1.4,11,56,28,56,1,1,2.40368,TRUE
22,32,1.4545,12,64,31,62,1,1,2.6416,TRUE
40,85,2.125,17,170,60,120,1,1,3.0199,TRUE
47,112,2.383,21,224,57,114,1,1,3.11628,TRUE
24,39,1.625,14,78,33,66,1,1,0.937171,TRUE
26,48,1.8462,14,96,38,76,1,1,0.921049,TRUE
41,95,2.3171,21,190,52,104,1,1,2.60203,TRUE
40,79,1.975,18,158,35,70,1,1,3.38602,TRUE
17,26,1.5294,13,52,24,48,1,1,1.90923,TRUE
37,67,1.8108,19,134,51,102,1,1,0.918223,TRUE
14,23,1.6429,13,46,21,42,1,1,2.12795,TRUE
27,42,1.5556,14,84,33,66,1,1,0,TRUE
27,47,1.7407,19,94,65,130,1,1,3.32347,TRUE
27,49,1.8148,16,98,25,50,1,1,1.69396,TRUE
26,52,2,19,104,40,80,1,1,2.17374,TRUE
