contains_bug,entropy,add_num_nodes,add_num_edges,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_num_nodes,del_num_edges,del_max_degree
False,0.0,26,44,1.6923,13,88,3,18,22,8
False,0.40790598,0,0,0.0,0,0,0,0,0,0
False,0.0,23,40,1.7391,12,80,3,0,0,0
False,0.0,6,8,1.3333,5,16,2,6,8,5
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.993123177,0,0,0.0,0,0,0,25,43,17
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.0,3,3,1.0,4,6,2,0,0,0
False,0.0,18,30,1.6667,9,60,3,19,29,10
False,0.0,11,14,1.2727,5,28,2,11,13,4
False,0.0,5,6,1.2,4,12,2,3,4,4
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.941138843,17,24,1.4118,11,48,2,13,19,11
False,0.0,19,28,1.4737,11,56,2,21,29,9
False,0.0,9,11,1.2222,5,22,2,8,9,4
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.918295834,19,26,1.3684,8,52,2,7,9,5
False,1.0,0,0,0.0,0,0,0,0,0,0
False,1.0,8,9,1.125,6,18,2,8,9,6
False,0.0,0,0,0.0,0,0,0,13,17,8
False,0.522559375,20,33,1.65,9,66,3,23,39,9
False,2.435520504,0,0,0.0,0,0,0,0,0,0
False,1.224394445,14,18,1.2857,8,36,2,15,19,8
False,0.0,13,17,1.3077,7,34,2,0,0,0
False,0.0,27,41,1.5185,10,82,3,0,0,0
False,1.306178709,25,44,1.76,11,88,3,37,76,17
False,0.0,13,17,1.3077,7,34,2,13,17,7
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.0,6,8,1.3333,5,16,2,6,8,5
False,1.298653215,25,41,1.64,10,82,3,14,18,8
False,1.731553155,26,46,1.7692,10,92,3,26,46,10
False,0.0,10,13,1.3,6,26,2,10,13,6
False,0.235193382,7,6,0.8571,3,12,1,6,5,2
False,0.632487078,11,17,1.5455,9,34,3,11,17,9
False,1.426520961,33,68,2.0606,13,136,4,25,46,12
False,0.391243564,0,0,0.0,0,0,0,0,0,0
False,0.0,13,18,1.3846,8,36,2,13,18,8
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.0,17,25,1.4706,9,50,2,0,0,0
False,0.527642326,0,0,0.0,0,0,0,0,0,0
False,0.0,11,16,1.4545,7,32,2,18,26,7
False,0.738284866,17,23,1.3529,7,46,2,8,11,6
False,0.845350937,8,9,1.125,4,18,2,0,0,0
False,2.892962813,0,0,0.0,0,0,0,0,0,0
False,0.0,27,41,1.5185,10,82,3,0,0,0
False,0.0,13,17,1.3077,7,34,2,0,0,0
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.992774454,25,41,1.64,10,82,3,15,19,8
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.0,6,7,1.1667,4,14,2,0,0,0
False,1.0,7,9,1.2857,5,18,2,7,9,5
False,0.0,10,18,1.8,8,36,3,9,15,8
False,0.99085109,0,0,0.0,0,0,0,32,61,15
False,2.11743795,8,11,1.375,6,22,2,10,14,8
False,0.0,24,34,1.4167,9,68,2,17,25,9
False,0.0,6,9,1.5,5,18,3,0,0,0
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.0,7,10,1.4286,5,20,2,12,18,6
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.467985385,8,11,1.375,6,22,2,8,9,6
False,0.0,18,30,1.6667,9,60,3,19,29,10
False,1.225475368,0,0,0.0,0,0,0,0,0,0
False,2.291520932,26,48,1.8462,13,96,3,36,84,24
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.0,23,34,1.4783,9,68,3,7,10,5
False,0.0,10,18,1.8,8,36,3,9,15,8
False,1.231290828,0,0,0.0,0,0,0,0,0,0
False,1.135888579,12,13,1.0833,4,26,2,24,38,9
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.0,11,15,1.3636,8,30,2,11,15,8
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.0,13,17,1.3077,7,34,2,13,17,7
False,2.92680784,21,36,1.7143,12,72,3,21,35,11
False,1.937548396,18,25,1.3889,9,50,2,26,38,11
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.32984607,25,39,1.56,8,78,3,12,16,7
False,0.391243564,0,0,0.0,0,0,0,0,0,0
False,0.0,0,0,0.0,0,0,0,0,0,0
False,1.707085519,0,0,0.0,0,0,0,35,65,14
False,0.0,25,37,1.48,8,74,3,0,0,0
False,0.0,0,0,0.0,0,0,0,0,0,0
False,2.863919487,0,0,0.0,0,0,0,0,0,0
False,0.99085109,0,0,0.0,0,0,0,32,61,15
False,2.892962813,0,0,0.0,0,0,0,0,0,0
False,0.0,0,0,0.0,0,0,0,0,0,0
False,4.139309691,21,33,1.5714,11,66,3,18,29,9
False,0.0,10,9,0.9,4,18,2,9,8,4
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.0,10,15,1.5,7,30,3,10,14,7
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.735508582,0,0,0.0,0,0,0,0,0,0
False,0.0,9,11,1.2222,5,22,2,9,11,5
False,0.0,12,17,1.4167,7,34,2,12,17,7
False,1.061278124,6,6,1.0,4,12,2,0,0,0
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.0,10,11,1.1,4,22,2,10,11,4
False,0.0,27,47,1.7407,10,94,3,19,33,9
False,0.0,18,26,1.4444,8,52,2,19,29,8
False,2.11743795,8,11,1.375,6,22,2,10,14,8
False,0.684038436,12,17,1.4167,7,34,2,8,11,6
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.0,13,17,1.3077,7,34,2,0,0,0
False,3.026986833,0,0,0.0,0,0,0,0,0,0
False,0.0,6,8,1.3333,5,16,2,6,8,5
False,0.0,7,10,1.4286,5,20,2,17,25,9
False,4.480719728,8,8,1.0,4,16,2,8,8,4
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.0,12,19,1.5833,9,38,3,12,19,9
False,0.0,0,0,0.0,0,0,0,12,17,8
False,0.0,0,0,0.0,0,0,0,0,0,0
False,2.892962813,0,0,0.0,0,0,0,0,0,0
