contains_bug,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,add_median_degree,del_num_nodes,del_max_degree
True,0,0,0.0,0.0,0,0,0,0,0,0
True,0,0,0.0,0.0,0,0,0,0,0,0
True,0,0,0.0,0.0,0,0,0,0,0,0
True,27,48,1.7778,1.7778,17,96,3,3,27,14
True,0,0,0.0,0.0,0,0,0,0,0,0
True,21,33,1.5714,1.5714,8,66,3,2,21,8
True,36,73,2.0278,2.0278,16,146,4,3,28,11
True,17,25,1.4706,1.4706,8,50,2,2,17,8
True,13,16,1.2308,1.2308,6,32,2,2,8,4
True,8,8,1.0,1.0,4,16,2,2,7,4
True,12,17,1.4167,1.4167,7,34,2,2,18,8
True,25,43,1.72,1.72,12,86,3,3,32,13
True,27,48,1.7778,1.7778,11,96,3,3,36,14
True,36,72,2.0,2.0,17,144,4,3,39,18
True,33,76,2.303,2.303,21,152,4,3,39,26
True,10,13,1.3,1.3,4,26,2,2,12,9
True,0,0,0.0,0.0,0,0,0,0,0,0
True,4,4,1.0,1.0,5,8,2,1,3,4
True,11,16,1.4545,1.4545,8,32,2,2,33,15
True,0,0,0.0,0.0,0,0,0,0,0,0
True,4,3,0.75,0.75,3,6,1,1,0,0
True,7,7,1.0,1.0,4,14,2,2,0,0
True,17,25,1.4706,1.4706,11,50,2,2,17,11
True,23,35,1.5217,1.5217,10,70,3,2,25,12
True,0,0,0.0,0.0,0,0,0,0,0,0
True,0,0,0.0,0.0,0,0,0,0,0,0
True,20,32,1.6,1.6,11,64,3,2,20,11
True,4,5,1.25,1.25,4,10,2,2,7,5
True,10,10,1.0,1.0,5,20,2,2,9,4
True,10,12,1.2,1.2,4,24,2,2,12,9
True,26,42,1.6154,1.6154,11,84,3,2,18,9
True,23,39,1.6957,1.6957,11,78,3,3,8,4
True,24,40,1.6667,1.6667,16,80,3,2,27,13
True,20,30,1.5,1.5,11,60,3,2,19,11
True,27,50,1.8519,1.8519,13,100,3,3,26,10
True,0,0,0.0,0.0,0,0,0,0,13,6
True,19,26,1.3684,1.3684,8,52,2,2,14,8
True,13,16,1.2308,1.2308,8,32,2,2,13,8
True,31,58,1.871,1.871,17,116,3,3,29,17
True,6,7,1.1667,1.1667,4,14,2,2,0,0
True,30,54,1.8,1.8,12,108,3,2,36,15
True,31,54,1.7419,1.7419,12,108,3,2,33,13
True,32,60,1.875,1.875,14,120,3,3,28,8
True,35,69,1.9714,1.9714,14,138,3,3,23,9
True,0,0,0.0,0.0,0,0,0,0,0,0
True,21,38,1.8095,1.8095,12,76,3,3,14,10
True,42,90,2.1429,2.1429,18,180,4,3,42,18
True,25,41,1.64,1.64,11,82,3,2,20,10
True,0,0,0.0,0.0,0,0,0,0,0,0
True,34,63,1.8529,1.8529,14,126,3,3,42,22
True,30,52,1.7333,1.7333,12,104,3,2,28,12
True,0,0,0.0,0.0,0,0,0,0,0,0
True,31,62,2.0,2.0,15,124,4,3,44,21
True,23,38,1.6522,1.6522,10,76,3,3,20,10
True,28,47,1.6786,1.6786,13,94,3,2,25,12
True,16,17,1.0625,1.0625,6,34,2,2,12,7
True,27,43,1.5926,1.5926,11,86,3,2,44,19
True,15,20,1.3333,1.3333,7,40,2,2,9,6
True,25,40,1.6,1.6,14,80,3,2,14,8
True,21,31,1.4762,1.4762,9,62,2,2,18,8
True,24,38,1.5833,1.5833,11,76,3,2,8,6
True,15,22,1.4667,1.4667,10,44,2,2,10,9
True,32,62,1.9375,1.9375,15,124,3,3,20,10
True,27,46,1.7037,1.7037,15,92,3,2,27,13
True,29,44,1.5172,1.5172,11,88,3,2,32,13
True,0,0,0.0,0.0,0,0,0,0,15,9
True,30,53,1.7667,1.7667,11,106,3,3,24,9
True,28,54,1.9286,1.9286,13,108,3,3,28,10
True,19,28,1.4737,1.4737,8,56,2,2,18,8
True,20,29,1.45,1.45,8,58,2,2,3,2
True,23,34,1.4783,1.4783,8,68,3,2,0,0
True,18,26,1.4444,1.4444,9,52,2,2,20,9
True,24,37,1.5417,1.5417,11,74,3,2,15,8
True,0,0,0.0,0.0,0,0,0,0,0,0
True,25,40,1.6,1.6,9,80,3,2,12,7
True,18,25,1.3889,1.3889,8,50,2,2,18,8
True,24,40,1.6667,1.6667,9,80,3,2,24,9
True,19,30,1.5789,1.5789,9,60,3,3,25,9
True,18,24,1.3333,1.3333,7,48,2,2,21,11
True,26,43,1.6538,1.6538,11,86,3,2,15,8
True,22,35,1.5909,1.5909,9,70,3,2,21,8
True,27,47,1.7407,1.7407,11,94,3,2,26,11
True,23,37,1.6087,1.6087,12,74,3,3,15,10
True,26,53,2.0385,2.0385,13,106,4,3,25,13
True,18,24,1.3333,1.3333,9,48,2,2,12,7
True,0,0,0.0,0.0,0,0,0,0,0,0
True,23,38,1.6522,1.6522,8,76,3,3,17,8
True,27,45,1.6667,1.6667,13,90,3,2,33,16
True,13,17,1.3077,1.3077,6,34,2,2,0,0
True,13,17,1.3077,1.3077,7,34,2,2,13,7
True,22,39,1.7727,1.7727,10,78,3,3,27,14
True,27,48,1.7778,1.7778,12,96,3,2,27,10
True,22,34,1.5455,1.5455,9,68,3,2,10,6
True,27,46,1.7037,1.7037,11,92,3,2,21,11
True,29,61,2.1034,2.1034,15,122,4,3,31,16
True,4,3,0.75,0.75,3,6,1,1,4,3
True,32,60,1.875,1.875,16,120,3,3,18,14
True,22,35,1.5909,1.5909,11,70,3,2,18,8
True,38,78,2.0526,2.0526,20,156,4,3,33,15
True,26,47,1.8077,1.8077,10,94,3,2,18,8
True,6,7,1.1667,1.1667,5,14,2,1,0,0
True,27,49,1.8148,1.8148,12,98,3,3,24,12
True,16,26,1.625,1.625,11,52,3,2,25,13
True,5,4,0.8,0.8,4,8,1,1,5,4
True,29,50,1.7241,1.7241,16,100,3,2,3,4
True,21,33,1.5714,1.5714,12,66,3,2,21,12
True,27,55,2.037,2.037,16,110,4,3,27,15
True,17,25,1.4706,1.4706,8,50,2,2,15,7
True,19,30,1.5789,1.5789,8,60,3,3,17,4
True,19,28,1.4737,1.4737,10,56,2,2,26,11
True,18,24,1.3333,1.3333,10,48,2,2,10,5
True,36,74,2.0556,2.0556,20,148,4,3,36,20
True,11,15,1.3636,1.3636,7,30,3,2,10,8
True,9,8,0.8889,0.8889,4,16,1,1,9,4
True,9,9,1.0,1.0,4,18,2,2,9,4
True,21,28,1.3333,1.3333,11,56,2,2,10,8
True,0,0,0.0,0.0,0,0,0,0,0,0
True,24,38,1.5833,1.5833,13,76,3,2,41,18
True,0,0,0.0,0.0,0,0,0,0,0,0
True,18,24,1.3333,1.3333,9,48,2,2,14,7
True,18,24,1.3333,1.3333,9,48,2,2,8,6
True,10,13,1.3,1.3,5,26,2,2,10,5
True,22,32,1.4545,1.4545,9,64,2,2,18,8
True,31,54,1.7419,1.7419,12,108,3,2,41,20
True,24,37,1.5417,1.5417,9,74,3,2,21,8
True,7,9,1.2857,1.2857,5,18,2,2,27,11
True,4,5,1.25,1.25,4,10,2,2,4,4
