contains_bug,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,add_median_degree,add_num_selfloops,del_num_nodes
True,32.0,58.0,1.8125,1.8125,11.0,116.0,3.0,3.0,1.0,31.0
True,19.0,30.0,1.5789,1.5789,8.0,60.0,3.0,3.0,1.0,19.0
True,21.0,32.0,1.5238,1.5238,10.0,64.0,3.0,2.0,1.0,21.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,17.0,22.0,1.2941,1.2941,6.0,44.0,2.0,2.0,0.0,0.0
True,40.0,70.0,1.75,1.75,16.0,140.0,3.0,3.0,1.0,40.0
True,38.0,73.0,1.9211,1.9211,16.0,146.0,3.0,3.0,1.0,38.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,47.0,106.0,2.2553,2.2553,23.0,212.0,4.0,3.0,1.0,47.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
True,47.0,106.0,2.2553,2.2553,23.0,212.0,4.0,3.0,1.0,47.0
True,47.0,106.0,2.2553,2.2553,23.0,212.0,4.0,3.0,1.0,47.0
True,13.0,16.0,1.2308,1.2308,7.0,32.0,2.0,2.0,0.0,12.0
True,26.0,47.0,1.8077,1.8077,13.0,94.0,3.0,3.0,1.0,26.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,10.0,13.0,1.3,1.3,7.0,26.0,2.0,2.0,1.0,10.0
True,13.0,19.0,1.4615,1.4615,7.0,38.0,2.0,2.0,1.0,12.0
True,34.0,64.0,1.8824,1.8824,11.0,128.0,3.0,3.0,2.0,35.0
True,44.0,104.0,2.3636,2.3636,26.0,208.0,4.0,3.0,2.0,28.0
True,12.0,17.0,1.4167,1.4167,9.0,34.0,2.0,3.0,1.0,12.0
True,28.0,50.0,1.7857,1.7857,13.0,100.0,3.0,3.0,1.0,24.0
True,17.0,24.0,1.4118,1.4118,9.0,48.0,2.0,2.0,1.0,0.0
True,28.0,48.0,1.7143,1.7143,11.0,96.0,3.0,3.0,1.0,20.0
True,33.0,63.0,1.9091,1.9091,13.0,126.0,3.0,3.0,2.0,21.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,40.0,83.0,2.075,2.075,18.0,166.0,4.0,3.0,1.0,47.0
