contains_bug,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_num_nodes,del_num_edges,del_sum_degree
True,18,32,1.7778,1.7778,12,64,3.76,15,29,58
True,39,80,2.0513,2.0513,17,160,4.21,25,43,86
True,46,99,2.1522,2.1522,20,198,4.4,13,19,38
True,39,82,2.1026,2.1026,18,164,4.32,43,97,194
True,30,61,2.0333,2.0333,16,122,4.21,30,61,122
True,35,65,1.8571,1.8571,16,130,3.82,35,65,130
True,14,23,1.6429,1.6429,12,46,3.54,14,23,46
True,30,55,1.8333,1.8333,13,110,3.79,31,55,110
True,35,69,1.9714,1.9714,14,138,4.06,11,17,34
True,28,54,1.9286,1.9286,12,108,4.0,13,21,42
True,13,20,1.5385,1.5385,10,40,3.33,13,20,40
True,44,106,2.4091,2.4091,23,212,4.93,43,105,210
True,14,22,1.5714,1.5714,10,44,3.38,14,22,44
True,14,21,1.5,1.5,10,42,3.23,14,21,42
True,30,54,1.8,1.8,16,108,3.72,11,17,34
True,13,20,1.5385,1.5385,9,40,3.33,11,17,34
True,9,12,1.3333,1.3333,7,24,3.0,9,12,24
True,33,68,2.0606,2.0606,17,136,4.25,33,68,136
True,39,73,1.8718,1.8718,17,146,3.84,11,17,34
True,14,24,1.7143,1.7143,12,48,3.69,14,24,48
True,29,56,1.931,1.931,16,112,4.0,29,56,112
True,17,27,1.5882,1.5882,13,54,3.38,16,25,50
True,35,65,1.8571,1.8571,16,130,3.82,35,65,130
True,22,33,1.5,1.5,13,66,3.14,22,33,66
True,16,26,1.625,1.625,14,52,3.47,15,24,48
True,15,23,1.5333,1.5333,12,46,3.29,15,23,46
True,34,72,2.1176,2.1176,15,144,4.36,34,72,144
True,24,52,2.1667,2.1667,16,104,4.52,24,52,104
True,24,41,1.7083,1.7083,12,82,3.57,16,26,52
True,39,90,2.3077,2.3077,18,180,4.74,34,77,154
True,20,35,1.75,1.75,12,70,3.68,20,35,70
True,38,91,2.3947,2.3947,20,182,4.92,23,42,84
True,38,75,1.9737,1.9737,18,150,4.05,40,79,158
True,29,62,2.1379,2.1379,16,124,4.43,23,42,84
True,10,14,1.4,1.4,7,28,3.11,10,14,28
True,25,46,1.84,1.84,14,92,3.83,24,45,90
True,9,12,1.3333,1.3333,7,24,3.0,9,12,24
True,23,45,1.9565,1.9565,14,90,4.09,21,37,74
True,37,85,2.2973,2.2973,19,170,4.86,37,85,170
True,35,69,1.9714,1.9714,16,138,4.06,36,70,140
True,29,57,1.9655,1.9655,17,114,4.07,27,51,102
True,23,36,1.5652,1.5652,12,72,3.27,23,36,72
True,24,40,1.6667,1.6667,13,80,3.48,14,22,44
True,47,130,2.766,2.766,31,260,5.65,41,104,208
True,45,88,1.9556,1.9556,16,176,4.0,13,21,42
True,9,12,1.3333,1.3333,7,24,3.0,9,12,24
True,41,85,2.0732,2.0732,17,170,4.25,11,17,34
