contains_bug,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_sum_degree,entropy,la
False,9,12,1.3333,1.3333,6,24,3.0,24,0.0,1
False,23,35,1.5217,1.5217,13,70,3.18,60,0.0,7
False,32,71,2.2188,2.2188,18,142,4.58,116,2.44573,64
False,13,21,1.6154,1.6154,9,42,3.5,42,0.0,0
False,24,44,1.8333,1.8333,14,88,3.83,88,0.0,0
False,33,66,2.0,2.0,20,132,4.12,132,2.14034,15
False,20,31,1.55,1.55,11,62,3.26,42,0.0,14
False,23,40,1.7391,1.7391,11,80,3.64,74,0.0,5
False,10,14,1.4,1.4,8,28,3.11,28,0.0,16
False,21,32,1.5238,1.5238,11,64,3.2,64,1.28705,11
False,23,32,1.3913,1.3913,12,64,3.05,64,0.0,1
False,26,45,1.7308,1.7308,11,90,3.6,90,0.0,1
False,46,110,2.3913,2.3913,26,220,4.89,198,0.0,0
False,19,32,1.6842,1.6842,12,64,3.56,62,0.0,6
False,30,65,2.1667,2.1667,20,130,4.48,130,0.722745,1096
False,16,25,1.5625,1.5625,12,50,3.33,50,0.811278,3
False,14,21,1.5,1.5,12,42,3.23,42,1.0,2
False,23,41,1.7826,1.7826,13,82,3.73,102,0.0,14
False,20,30,1.5,1.5,13,60,3.16,60,0.0,1
False,20,30,1.5,1.5,10,60,3.16,60,0.0,1
False,11,17,1.5455,1.5455,8,34,3.4,34,1.51093,35
False,38,73,1.9211,1.9211,17,146,3.95,134,0.0,0
False,13,20,1.5385,1.5385,12,40,3.33,40,0.0,1
False,42,93,2.2143,2.2143,18,186,4.54,146,0.0,0
False,35,66,1.8857,1.8857,14,132,4.0,94,0.0,31
False,20,36,1.8,1.8,14,72,3.79,72,0.0,4
False,19,32,1.6842,1.6842,12,64,3.56,62,0.0,6
False,22,47,2.1364,2.1364,17,94,4.48,100,1.67559,972
False,10,15,1.5,1.5,8,30,3.33,30,0.0,1
False,19,28,1.4737,1.4737,12,56,3.11,56,0.0,3
False,16,25,1.5625,1.5625,9,50,3.33,66,0.0,0
False,15,22,1.4667,1.4667,10,44,3.14,44,0.0,2
False,12,19,1.5833,1.5833,10,38,3.45,36,0.0,7
False,13,19,1.4615,1.4615,11,38,3.45,38,0.0,0
False,6,5,0.8333,0.8333,5,10,2.0,10,0.0,1
False,12,18,1.5,1.5,10,36,3.27,36,0.0,2
False,21,31,1.4762,1.4762,10,62,3.1,62,0.0,1
False,31,54,1.7419,1.7419,13,108,3.72,66,0.629249,19
False,39,85,2.1795,2.1795,19,170,4.59,144,0.0,0
False,11,15,1.3636,1.3636,7,30,3.0,88,0.642092,0
False,30,65,2.1667,2.1667,20,130,4.48,130,0.722745,1096
False,20,31,1.55,1.55,11,62,3.26,42,0.0,14
False,23,35,1.5217,1.5217,14,70,3.33,70,0.0,4
False,31,52,1.6774,1.6774,15,104,3.47,102,0.0,0
False,21,32,1.5238,1.5238,12,64,3.2,52,0.0,0
False,6,5,0.8333,0.8333,5,10,2.0,10,0.954434,6
False,11,16,1.4545,1.4545,9,32,3.2,28,0.0,2
False,34,77,2.2647,2.2647,21,154,4.67,104,1.47663,52
False,16,25,1.5625,1.5625,11,50,3.33,48,0.0,0
False,29,54,1.8621,1.8621,15,108,3.86,102,0.490342,29
False,26,45,1.7308,1.7308,13,90,3.6,90,0.0,1
False,12,19,1.5833,1.5833,11,38,3.45,38,0.0,6
False,34,65,1.9118,1.9118,18,130,3.94,108,1.34021,30
