commit_hash,contains_bug,add_num_cycles,add_density,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_min_degree,add_sum_degree,add_avg_degree,add_median_degree,add_num_selfloops,del_num_cycles,del_density,del_num_nodes,del_num_edges,del_avg_in_degree,del_avg_out_degree,del_max_degree,del_min_degree,del_sum_degree,del_avg_degree,del_median_degree,del_num_selfloops,ns,nd,nf,entropy,la,ld,lt,ndev
81a0140253b587297ced957fb8143be3d46c6a0c,False,4,0.17,10,15,1.5,1.5,8,1,30,3.33,3.0,1,4,0.17,10,15,1.5,1.5,8,1,30,3.33,3.0,1,1,1,4,1.89974,18,20,347.0,9
6f3c3422302e4218cf82ab48a02f391b0f2cbac4,False,3,0.1,17,26,1.5294,1.5294,11,1,52,3.25,2.5,1,3,0.1,17,26,1.5294,1.5294,11,1,52,3.25,2.5,1,1,1,1,0.0,2,4,658.0,56
7ddfc4608d7ddb50d964b559a0576cdc47a0c8cc,False,12,0.1,17,28,1.6471,1.6471,13,1,56,3.5,3.0,1,12,0.1,17,28,1.6471,1.6471,13,1,56,3.5,3.0,1,1,1,1,0.0,8,5,69.0,27
1e318c15289936421b0b7617efa3cbf8f3b7b9b5,False,4,0.12,13,18,1.3846,1.3846,10,1,36,3.27,3.0,1,4,0.12,13,18,1.3846,1.3846,10,1,36,3.27,3.0,1,1,1,1,0.0,5,1,12.0,55
c7d49657e62d27d0f51404870e368764865c659e,False,4,0.1,17,27,1.5882,1.5882,12,1,54,3.38,2.0,1,4,0.1,17,27,1.5882,1.5882,12,1,54,3.38,2.0,1,2,2,3,1.35179,82,96,133.0,10
f8b0f9874998af8eff166472472563f137052bc6,False,25,0.07,29,53,1.8276,1.8276,17,1,106,3.79,3.0,1,9,0.08,22,35,1.5909,1.5909,15,1,70,3.33,2.0,1,1,2,3,1.45862,25,3,70.6667,4
20659e9781fe8562b4a1f5a462e8f9304b4e57b9,True,3,0.15,11,16,1.4545,1.4545,8,1,32,3.2,2.5,1,2,0.2,8,11,1.375,1.375,6,1,22,3.14,3.0,1,1,1,1,0.0,171,0,0.0,0
ca79b05e62ae3b16357fff0dc9879a7bb9dfdc9b,False,48,0.06,33,66,2.0,2.0,21,1,132,4.26,3.0,1,48,0.06,33,66,2.0,2.0,21,1,132,4.26,3.0,1,1,1,1,0.0,25,13,311.0,6
3810051ca3f2c42cfcad09e0ce7bcb999fc892f1,False,4,0.08,19,27,1.4211,1.4211,10,1,54,3.18,2.0,1,4,0.08,19,27,1.4211,1.4211,10,1,54,3.18,2.0,1,2,2,3,1.5,8,8,7.66667,2
4250f970c0fef992445e67f12cd93086373d7dd3,False,4,0.07,20,27,1.35,1.35,10,1,54,2.84,2.0,1,4,0.07,20,27,1.35,1.35,10,1,54,2.84,2.0,1,1,1,2,1.0,2,2,11.0,4
