commit_hash,contains_bug,add_num_cycles,add_density,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_min_degree,add_sum_degree,add_avg_degree,add_median_degree,add_num_selfloops,del_num_cycles,del_density,del_num_nodes,del_num_edges,del_avg_in_degree,del_avg_out_degree,del_max_degree,del_min_degree,del_sum_degree,del_avg_degree,del_median_degree,del_num_selfloops,ns,nd,nf,entropy,la,ld,lt,ndev
0d49c82edd4c2c92f8ebe215c057b0173a258d77,False,7,0.16,12,21,1.75,1.75,9,2,42,3.82,3.0,1,4,0.15,12,20,1.6667,1.6667,9,2,40,3.64,3.0,1,1,1,1,0.0,10,0,98.0,10
833180f538c7fa16b097022c7c0d4b4d2f09688b,False,4,0.15,11,17,1.5455,1.5455,8,1,34,3.4,3.0,1,4,0.15,11,17,1.5455,1.5455,8,1,34,3.4,3.0,1,1,1,1,0.0,1,1,4849.0,118
b72fbabe17a8639ffab2ef02ff84d0ee66c30fae,False,5,0.15,13,23,1.7692,1.7692,9,2,46,3.83,3.0,1,5,0.15,13,23,1.7692,1.7692,9,2,46,3.83,3.0,1,1,1,1,0.0,2,2,208.0,6
fcefc6851a624b59bd1bb42d211ce69f85969880,False,2,0.09,17,24,1.4118,1.4118,8,1,48,3.0,2.5,1,2,0.09,17,24,1.4118,1.4118,8,1,48,3.0,2.5,1,1,1,1,0.0,7,0,4847.0,88
fcdea8ad2ac1f4f55133fdf9047410631e9cc21f,True,7,0.07,22,31,1.4091,1.4091,12,1,62,3.1,2.0,1,7,0.07,22,32,1.4545,1.4545,12,1,64,3.05,2.0,1,1,1,1,0.0,2,2,4847.0,88
86fadee9904198ca706d706a8545ee908e830dfa,False,8,0.1,17,28,1.6471,1.6471,10,1,56,3.5,3.0,1,8,0.1,17,28,1.6471,1.6471,10,1,56,3.5,3.0,1,1,2,10,2.24566,122,59,240.3,49
f7adb32e383bbbdb473eb470e4a6872b582cac80,False,38,0.09,25,54,2.16,2.16,15,1,108,4.5,4.0,2,38,0.09,25,55,2.2,2.2,15,1,110,4.58,4.0,2,1,2,86,5.67469,383,75,238.128,97
391b10399c552a9ae8765c74e7e533d81beafd98,False,5,0.08,19,28,1.4737,1.4737,13,1,56,3.11,2.0,1,5,0.1,16,23,1.4375,1.4375,12,1,46,3.07,2.0,1,1,1,1,0.0,14,6,164.0,24
2be6f3191a51b68981399e67f31a0d38654b8b83,False,4,0.07,22,31,1.4091,1.4091,13,1,62,2.95,2.0,1,4,0.06,24,34,1.4167,1.4167,13,1,68,2.96,2.0,1,1,1,1,0.0,7,7,164.0,23
7a1f455a9fd18d60281e9c21136d6d4f8cd3ab33,False,5,0.15,11,17,1.5455,1.5455,10,1,34,3.4,2.5,1,5,0.15,11,17,1.5455,1.5455,10,1,34,3.4,2.5,1,1,1,4,1.90582,86,78,362.0,6
5f51fd6d5966a052addd7e91f74ec66cd5777b37,False,4,0.12,14,21,1.5,1.5,10,1,42,3.5,3.0,1,4,0.12,14,21,1.5,1.5,10,1,42,3.5,3.0,1,1,1,1,0.0,25,17,124.0,1
eb202ea21de1fbcc32fb3db63fcce4135b7a2849,False,7,0.08,21,33,1.5714,1.5714,11,1,66,3.3,3.0,1,7,0.08,21,33,1.5714,1.5714,11,1,66,3.3,3.0,1,1,1,1,0.0,21,0,56.0,6
6ba1f15432962f5f8092dd5e6b23cde823d4ddac,False,4,0.17,10,15,1.5,1.5,8,1,30,3.33,3.0,1,4,0.17,10,15,1.5,1.5,8,1,30,3.33,3.0,1,0,0,0,0.0,0,0,0.0,0
786825c719e40f8c73643fae4ea9e9dca454715f,False,4,0.08,20,31,1.55,1.55,11,1,62,3.26,3.0,1,4,0.1,14,19,1.3571,1.3571,10,1,38,2.92,2.0,1,1,1,1,0.0,876,40,272.0,37
6bfee8a8c2ad0c77d47bedc282a7838aab137508,False,4,0.17,10,15,1.5,1.5,8,1,30,3.33,3.0,1,4,0.17,10,15,1.5,1.5,8,1,30,3.33,3.0,1,1,1,4,1.469,22,18,361.0,6
465a583f9dcc2383eb20bbb98bffa66fe82f2cde,False,5,0.14,12,18,1.5,1.5,11,1,36,3.27,2.0,1,5,0.14,12,18,1.5,1.5,11,1,36,3.27,2.0,1,1,1,1,0.0,2,49,102.0,1
8bc1badadae684e218600fe1e9a05f726120aacb,False,7,0.08,22,38,1.7273,1.7273,13,1,76,3.62,3.0,1,8,0.09,20,34,1.7,1.7,11,1,68,3.58,3.0,1,1,2,2,0.998001,15,4,263.0,24
83aafd5b3266ea2f6b7ff33d956548085dc63c32,False,9,0.07,28,52,1.8571,1.8571,14,1,104,3.85,3.0,1,9,0.07,28,52,1.8571,1.8571,14,1,104,3.85,3.0,1,1,1,1,0.0,18,5,1241.0,78
168efeaca6bbb9158f7731f5d72ae75b2320ca2c,False,4,0.09,17,25,1.4706,1.4706,10,1,50,3.12,3.0,1,4,0.09,17,25,1.4706,1.4706,10,1,50,3.12,3.0,1,1,2,3,1.55459,12,12,912.333,30
73e538cf6a9df9a5ef57363e53fbeb01d1ade510,False,7,0.16,11,18,1.6364,1.6364,8,1,36,3.6,3.0,1,7,0.16,11,18,1.6364,1.6364,8,1,36,3.6,3.0,1,1,1,1,0.0,38,38,1322.0,13
96dc93686237facede4b53e4962295ffd709c85e,False,12,0.1,19,33,1.7368,1.7368,11,1,66,3.67,3.0,1,12,0.1,19,33,1.7368,1.7368,11,1,66,3.67,3.0,1,1,1,1,0.0,107,107,2072.0,19
2936dbc557084be1b0cc16d73250a9f220871062,False,4,0.08,20,30,1.5,1.5,11,1,60,3.16,2.0,1,4,0.08,20,30,1.5,1.5,11,1,60,3.16,2.0,1,1,1,1,0.0,6,6,1765.0,112
eece974d0a3b8049e73cc29a4d14efddc00101a3,False,2,0.12,12,16,1.3333,1.3333,8,1,32,2.91,2.0,1,2,0.12,12,16,1.3333,1.3333,8,1,32,2.91,2.0,1,1,1,1,0.0,1,1,2222.0,76
0f681cecadb9472b3d3ae2c1dd23d8173dc2e316,False,4,0.12,14,21,1.5,1.5,10,1,42,3.5,3.0,1,2,0.15,9,11,1.2222,1.2222,6,1,22,2.75,2.0,1,1,1,1,0.0,124,0,0.0,0
5f71eac6345c716b4e0b7506fd77ca0d119341d2,False,5,0.07,21,30,1.4286,1.4286,10,1,60,3.0,2.0,1,5,0.07,21,30,1.4286,1.4286,10,1,60,3.0,2.0,1,0,0,0,0.0,0,0,0.0,0
