commit_hash,contains_bug,annotation name name operator,annotation name name operator name,argument,argument expr,argument expr call,argument expr call name,argument expr call name name,argument expr literal,argument expr literal type,argument expr name,argument expr name argument,argument expr name argument expr,argument expr name comment,argument expr name comment type,argument expr name expr,argument expr name expr_stmt,argument expr name expr_stmt expr,argument expr name function type,argument expr name if,argument expr name if_stmt,argument expr name if_stmt if,argument expr name operator,argument name,argument name name,argument name name parameter,argument name name parameter_list,argument_list,argument_list argument,argument_list argument expr,argument_list argument expr call,argument_list argument expr call name,argument_list argument expr literal
c59af2fdf8f7f53117c626a895dab7fd78cf08ec,1,7,7,2168,1174,178,178,130,381,381,565,105,104,16,16,42,35,35,3,8,8,7,48,17,8,1,0,974,618,618,118,118,180
dfa78484633b3ce21471d527b9c24671e3ca5df9,0,1,1,234,78,7,7,7,10,10,52,9,8,0,0,6,4,4,0,2,2,2,0,1,0,0,0,154,40,40,4,4,7
957f0311a160afb40dbb0619f455445b4f5d1e32,0,1,1,24,9,1,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,14,6,6,1,1,0
4492b9e7302b8c84dddec9713d8148cc6183f46b,0,1,1,18,8,0,0,0,0,0,6,0,0,1,1,2,1,0,0,0,0,0,1,1,0,0,0,9,8,8,0,0,0
2d16f40dab291a29b3fc005221b12fd587615d4e,0,1,1,39,18,2,2,1,1,1,12,2,2,0,0,1,1,1,0,1,1,1,1,1,0,0,0,20,14,14,2,2,1
0f0c6415af409d213e7a132390a850c1251b92ef,0,1,1,10,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,3,0,0,0
a9a8297cad4122961b34265c0a31d87134a4a028,1,2,2,326,144,25,25,25,10,10,101,22,22,2,2,7,6,6,2,6,6,6,2,22,19,3,2,160,86,86,23,23,10
22ff9e68d1d9f27d62455c15fb1242538551aca9,1,1,1,81,28,8,8,8,2,2,16,3,3,0,0,1,0,0,0,2,2,2,1,7,6,0,0,41,22,22,8,8,1
93258459faf56bc84121ba99d20eaef95273329e,0,1,1,34,15,0,0,0,6,6,7,0,0,0,0,3,3,3,0,0,0,0,1,1,0,0,0,18,12,12,0,0,5
a2a5cb60b09491cb672978ba9442f02373392c67,0,1,1,191,91,9,9,9,44,44,33,4,4,1,1,13,4,3,0,1,1,1,1,24,5,0,0,76,45,45,7,7,19
76be82bc0419affbe0103bc4f45c90926f08d0cc,1,1,1,303,163,22,22,18,38,38,96,19,19,3,3,19,12,12,1,1,1,0,6,5,3,1,1,135,103,103,18,18,33
dc065dd64ca3e101b0c0a7bcc7d7a067b77d6c82,0,1,1,50,33,0,0,0,6,6,20,4,4,0,0,1,1,1,0,0,0,0,0,1,0,0,0,16,12,12,0,0,3
3d191cc15244e1e29f837b34a9bd1d029e003064,0,1,1,79,44,4,4,2,2,2,34,7,7,2,2,2,0,0,0,0,0,0,4,2,0,0,0,33,26,26,3,3,0
92d8f371553b88e5b3a9d3354e93f75d60d81368,0,1,1,27,11,2,2,2,2,2,4,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,15,7,7,2,2,2
03060075c53a2cecfbf5f60b6fc77afecf64ace5,0,1,1,93,51,3,3,3,21,21,24,7,7,2,2,3,3,3,1,2,2,2,0,3,1,0,0,39,28,28,0,0,11
9097e2efe4c92d83c8fab88dc11be84505a6cab5,1,1,1,49,25,5,5,5,5,5,11,3,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,22,15,15,4,4,5
0bdd263d82a4510f16df49238d57c9f78ac28ae7,1,1,1,99,67,0,0,0,2,2,63,7,7,0,0,1,1,1,0,3,3,3,0,1,0,0,0,31,22,22,0,0,1
b970446b2c59f8897bb2c3a562fa192ed3452db5,0,1,1,16,9,0,0,0,1,1,6,2,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,6,4,4,0,0,0
fd2f22adec5c2f21f792045dbfde9385c21403ec,1,1,1,72,28,6,6,4,3,3,17,1,1,0,0,2,1,1,4,0,0,0,0,5,2,0,0,39,18,18,5,5,3
61c0bedf775e6e794d4704485ec2c41a95aecae9,0,1,1,14,6,0,0,0,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,4,4,0,0,2
860d49aa6ae7790d970d7f2322fed890b0e5cda2,1,6,5,1783,1084,86,86,30,145,145,770,114,114,31,31,10,10,8,0,10,10,10,28,75,45,5,3,618,393,393,50,50,35
3df3fa396c7b338928f77344edd8c4dcda957671,0,1,1,19,9,2,2,2,2,2,3,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,9,5,5,0,0,2
f5e0bd30fde654ed48fe73e5c0523030365385a4,0,1,1,16,8,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,6,6,0,0,2
a46933e8ce4c1715c11e3e3283bf0e8c2b53b837,1,1,1,33,9,1,1,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,22,5,5,1,1,1
2034315763cd7b1eb77e96c719918fc14e2dabf6,0,1,1,38,17,0,0,0,6,6,9,1,1,0,0,0,0,0,0,1,1,1,2,1,0,0,0,20,11,11,0,0,4
