commit_hash,contains_bug,argument expr name,argument expr name name,argument_list argument expr name name,argument_list if,argument_list if_stmt,argument_list if_stmt if,argument_list if_stmt if condition,argument_list if_stmt if condition expr,block block,block block_content,block block_content comment,block block_content comment type,block block_content expr,block block_content expr_stmt,block block_content expr_stmt expr,block block_content expr_stmt expr name,block_content comment,block_content comment type,condition expr name operator name,else block,else block block_content,expr name,expr name name,expr name name operator,expr name name operator name,expr name operator name,expr operator name name literal,expr operator name name operator,expr_stmt expr name name operator,function,incr,incr expr
8b32176c0b7ce8392edf0c38cc590bf29101d580,0,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,6,4,0,0,0,1,0,0,0
886e17c842fc898e8565b8281b096fe759657bfa,0,10,1,1,0,0,0,0,0,5,5,0,0,2,2,2,0,0,0,0,0,0,16,2,2,1,0,0,0,0,4,0,0
e5addc06d3accf159434a57df8f9ac88c218117e,0,15,3,2,0,0,0,0,0,3,3,0,0,1,1,1,0,0,0,0,2,0,28,10,4,1,1,0,0,0,0,0,0
0a3f80451848fa683ac72ecde1c1818912cc76ae,1,131,6,5,7,7,7,7,7,67,67,3,3,35,35,35,8,3,3,2,3,2,222,27,27,24,9,0,0,12,15,0,0
28dab8437f4b2a7b8a47e7bad1cac9dd8f0ef18c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0
ab8f8f994f2b0c6e168e837a32e3e1a83a9b1b47,1,69,22,12,3,3,3,3,3,28,28,0,0,14,14,14,6,0,0,0,0,0,132,37,18,15,12,1,4,4,10,0,0
b20968241ae072c6f5b11e4f80053a7e90ce9186,1,203,106,76,10,5,5,5,5,131,131,9,9,61,61,61,14,9,9,21,7,7,330,149,135,131,35,1,2,11,24,0,0
6aea26168a5b2c52cf5a2c3bc4b1f09351d4d153,1,47,36,24,1,1,1,1,1,19,19,1,1,12,12,12,3,1,1,2,0,0,75,43,42,41,3,0,1,2,0,0,0
135d89c4bddb092a4b880921415a82833154f691,1,38,16,13,12,11,11,11,11,32,32,5,5,8,8,8,6,5,5,0,2,2,94,31,24,21,7,0,1,3,10,0,0
2b7362de2b1522453fe2ae8355108181ffb8a457,0,46,16,4,1,1,1,1,1,26,26,3,3,10,10,10,6,3,3,4,1,1,110,30,10,8,13,0,0,0,8,4,4
5fca7fc9381dd6ad8cc5b2252cb4c255b0e42929,1,29,5,2,1,1,1,1,1,20,20,1,1,14,14,14,3,1,1,0,2,2,59,20,19,18,5,0,0,6,0,0,0
